0,DB04571
1,DB00460
2,DB00855
3,DB09536
4,DB01600
5,DB09000
6,DB11630
7,DB00553
8,DB06261
9,DB01878
10,DB00140
11,DB00821
12,DB08897
13,DB11315
14,DB00424
15,DB00670
16,DB06148
17,DB01116
18,DB00391
19,DB00517
20,DB09076
21,DB01090
22,DB01071
23,DB01168
24,DB00462
25,DB00732
26,DB01409
27,DB00810
28,DB00986
29,DB00332
30,DB00434
31,DB00805
32,DB00496
33,DB06153
34,DB00182
35,DB06702
36,DB00967
37,DB00219
38,DB00366
39,DB01037
40,DB01339
41,DB00283
42,DB01247
43,DB00387
44,DB01036
45,DB00657
46,DB01591
47,DB00572
48,DB00940
49,DB09300
50,DB00782
51,DB00747
52,DB09244
53,DB00780
54,DB01199
55,DB01171
56,DB01367
57,DB00209
58,DB00614
59,DB00908
60,DB00483
61,DB12278
62,DB00376
63,DB00752
64,DB00340
65,DB01062
66,DB09241
67,DB00915
68,DB01338
69,DB00392
70,DB00809
71,DB09245
72,DB01173
73,DB01337
74,DB00979
75,DB01626
76,DB00245
77,DB00804
78,DB09275
79,DB04574
80,DB00635
81,DB03754
82,DB00860
83,DB01370
84,DB00588
85,DB09104
86,DB06724
87,DB01130
88,DB06723
89,DB13595
90,DB09281
91,DB08970
92,DB00741
93,DB01047
94,DB01377
95,DB11921
96,DB00959
97,DB01390
98,DB00764
99,DB00394
100,DB09095
101,DB00253
102,DB09091
103,DB00443
104,DB00596
105,DB00663
106,DB00591
107,DB00687
108,DB08905
109,DB00240
110,DB00547
111,DB08906
112,DB13158
113,DB00223
114,DB00288
115,DB02187
116,DB01410
117,DB00896
118,DB08938
119,DB01234
120,DB00620
121,DB01260
122,DB06786
123,DB06781
124,DB00655
125,DB00180
126,DB01708
127,DB01384
128,DB01380
129,DB08971
130,DB01222
131,DB00324
132,DB00846
133,DB00873
134,DB00838
135,DB01013
136,DB00375
137,DB01118
138,DB00415
139,DB00335
140,DB00615
141,DB01435
142,DB00252
143,DB00199
144,DB00869
145,DB01154
146,DB09227
147,DB01045
148,DB06736
149,DB00865
150,DB01320
151,DB06770
152,DB06772
153,DB06777
154,DB00862
155,DB08877
156,DB00564
157,DB00607
158,DB00622
159,DB01621
160,DB12483
161,DB00794
162,DB00495
163,DB00497
164,DB01174
165,DB00835
166,DB06737
167,DB00836
168,DB06403
169,DB00498
170,DB00499
171,DB00312
172,DB00755
173,DB00238
174,DB01349
175,DB00656
176,DB08439
177,DB01201
178,DB11614
179,DB00997
180,DB00991
181,DB00193
182,DB00153
183,DB00808
184,DB01551
185,DB09236
186,DB00448
187,DB01558
188,DB01559
189,DB08828
190,DB01244
191,DB00673
192,DB00812
193,DB08918
194,DB00849
195,DB00924
196,DB04946
197,DB01351
198,DB00091
199,DB00904
200,DB00907
201,DB00906
